vert,x,y,z,X_up,X_down,y_up,y_down,z_up,z_down
0,0,0,0,4,9,9,9,10,2
1,1,0,0,6,5,4,1,3,3
2,2,0,0,7,7,8,5,3,7
3,3,0,0,2,10,6,1,4,5
4,4,0,0,3,6,8,3,3,10
5,5,0,0,6,1,5,5,0,6
6,6,0,0,6,10,2,1,7,0
7,7,0,0,7,4,0,5,8,8
8,8,0,0,1,4,0,3,7,3
9,9,0,0,5,8,0,2,4,5
10,10,0,0,10,7,10,4,8,1
11,11,0,0,1,0,8,7,1,5
12,12,0,0,1,8,3,5,9,0
13,13,0,0,5,5,7,2,5,2
14,14,0,0,8,7,10,5,3,0
15,15,0,0,1,2,4,2,7,9
16,16,0,0,7,6,5,1,9,9
17,17,0,0,9,4,7,10,0,3
18,18,0,0,1,1,7,6,0,10
19,19,0,0,9,3,4,7,6,0
20,20,0,0,10,0,4,7,10,9
21,21,0,0,1,2,0,2,1,10
22,22,0,0,5,3,5,6,5,5
23,23,0,0,5,4,0,7,4,8
24,24,0,0,0,9,6,4,7,3
25,25,0,0,7,5,8,4,9,2
26,26,0,0,3,4,6,4,6,4
27,27,0,0,0,7,8,8,9,0
28,28,0,0,9,7,2,10,8,5
29,29,0,0,1,3,0,5,4,1
30,30,0,0,2,6,2,2,4,3
31,31,0,0,2,8,7,9,10,8
32,32,0,0,7,4,2,8,7,2
33,33,0,0,9,8,2,8,9,8
34,34,0,0,9,5,2,4,6,4
35,35,0,0,6,9,10,8,2,3
36,36,0,0,9,5,4,1,2,5
37,37,0,0,0,0,7,5,6,3
38,38,0,0,6,10,3,9,0,5
39,39,0,0,6,1,9,9,2,2
40,40,0,0,4,5,0,7,7,1
41,41,0,0,7,10,8,3,9,0
42,42,0,0,2,7,1,4,4,7
43,43,0,0,2,0,10,7,7,5
44,44,0,0,1,0,7,10,5,0
45,45,0,0,9,5,8,0,4,6
46,46,0,0,6,4,0,9,3,4
47,47,0,0,3,7,3,8,1,9
48,48,0,0,0,6,1,1,0,3
49,49,0,0,1,7,2,10,3,5
50,0,1,0,8,10,10,4,5,3
51,1,1,0,7,1,7,4,10,8
52,2,1,0,8,1,7,0,8,1
53,3,1,0,6,5,7,3,8,3
54,4,1,0,5,10,2,2,3,0
55,5,1,0,5,4,7,9,5,1
56,6,1,0,8,9,7,6,5,8
57,7,1,0,4,3,0,2,7,7
